intent;utterance
healthcare.faq_out_of_pocket_maximums;explain  me  about  out of pocket max
healthcare.faq_out_of_pocket_maximums;explain  me  about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;hey bot can you help  me  know about  out of pocket max
healthcare.faq_out_of_pocket_maximums;hey bot can you help  me  know about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;give  me  information about  out of pocket max
healthcare.faq_out_of_pocket_maximums;give  me  information about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;can you help  me  know about  out of pocket max
healthcare.faq_out_of_pocket_maximums;can you help  me  know about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;let  me  know about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;let  me  know about  out of pocket max
healthcare.faq_out_of_pocket_maximums;brief  me  about  out of pocket max
healthcare.faq_out_of_pocket_maximums;brief  me  about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;information about  out of pocket max
healthcare.faq_out_of_pocket_maximums;information about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;tell  me  something about  out of pocket   maximums
healthcare.faq_out_of_pocket_maximums;tell  me  something about  out of pocket max
healthcare.faq_out_of_pocket_maximums;tell  me  something about  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;what's  pocket maximum
healthcare.faq_out_of_pocket_maximums;what's  out of pocket max
healthcare.faq_out_of_pocket_maximums;what's  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;what is  out of pocket maximums
healthcare.faq_out_of_pocket_maximums;what is  out of pocket maximum
healthcare.faq_out_of_pocket_maximums;what is  out of pocket max
healthcare.schedule_appointment;Can I arrange  tonight  a morning appointment for  tomorrow ?
healthcare.schedule_appointment;Can I arrange a  morning  appointment  today ?
healthcare.schedule_appointment;Can I schedule my  morning  appointment  today ?
healthcare.schedule_appointment;May I arrange a  morning  appointment  today ?
healthcare.schedule_appointment;May I book a  morning  appointment  today ?
healthcare.schedule_appointment;On  Tuesday , will they have availability?
healthcare.schedule_appointment;Do they have  Tuesday  availability?
healthcare.schedule_appointment;On  Tuesday , do they have availability?
healthcare.schedule_appointment;Have they got the availability on  Tuesday ?
healthcare.schedule_appointment;Is it available on  Tuesday ?
healthcare.schedule_appointment;Are they available on  Tuesday ?
healthcare.schedule_appointment;Is there availability on  Tuesday ?
healthcare.schedule_appointment;can i schedule an apointment  today  at  night ?
healthcare.schedule_appointment;can i schedule an apointment  today  at  evening ?
healthcare.schedule_appointment;can i schedule an apointment  today  at  afternoon ?
healthcare.schedule_appointment;can i schedule an apointment  today  at  morning ?
healthcare.schedule_appointment;do they have availability  day after tomorrow ?
healthcare.schedule_appointment;do they have availability  tomorrow ?
healthcare.schedule_appointment;do they have availability  today ?
healthcare.schedule_appointment;Would they be free  day after tomorrow ?
healthcare.schedule_appointment;Would they be free  today ?
healthcare.schedule_appointment;Would they be free  tomorrow ?
healthcare.schedule_appointment;check availability on  tuesday
healthcare.schedule_appointment;Do they have availability on  Tuesday ?
healthcare.schedule_appointment;How do I schedule an appointment?
healthcare.schedule_appointment;How do I schedule an appointment? Do they have availability on  Tuesday ?
healthcare.initialize_doctor;I want to schedule a doctor's visit
healthcare.initialize_doctor;I want to visit my doctor
healthcare.initialize_doctor;I wish schedule an appointment with doctor
healthcare.initialize_doctor;I have a headache, locate a nearby doctor in my area
healthcare.initialize_doctor;Find a doctor near  me
healthcare.initialize_doctor;I  feel nauseous,  I  need to see a doctor  urgently
healthcare.initialize_doctor;I  want to see a doctor  immediately
healthcare.initialize_doctor;Find a practitioner near  me
healthcare.initialize_doctor;i am  having Allergy, find  me  a doctor now
healthcare.initialize_doctor;Help  me  to identify a  doctor
healthcare.initialize_doctor;Its urgent find a  doctor
healthcare.initialize_doctor;Find a doctor  immediately
healthcare.initialize_doctor;I  need a doctor  urgently
healthcare.initialize_doctor;Help  me  to get a doctor  urgently
healthcare.initialize_doctor;Where could  I  find a health care professional?
healthcare.initialize_doctor;Where can  I  locate a doctor?
healthcare.initialize_doctor;where can  i  find a  doctor
healthcare.initialize_doctor;Hey find a  doctor
healthcare.initialize_doctor;please find a doc
healthcare.initialize_doctor;I  would like to know about a  doctor
healthcare.initialize_doctor;is there a doctor near  me
healthcare.initialize_doctor;can you connect  me  to a doctor
healthcare.initialize_doctor;connect  me  to a  doctor
healthcare.initialize_doctor;i  want to see a doc
healthcare.initialize_doctor;i  want to see a  doctor
healthcare.initialize_doctor;find  doc
healthcare.initialize_doctor;Find a  doctor
healthcare.agent_transfer;i am not at all satisfied the way you responded
healthcare.agent_transfer;not a clear answer
healthcare.agent_transfer;response is not clear
healthcare.agent_transfer;This is a vague answer
healthcare.agent_transfer;invalid response
healthcare.agent_transfer;this response is vague
healthcare.agent_transfer;i hope you dont mind but your answers are not appropriate
healthcare.agent_transfer;your answers are not correct
healthcare.agent_transfer;you are giving me wrong answer
healthcare.agent_transfer;Your response doesn't satisfy me.
healthcare.agent_transfer;Your reply does not satisfy me.
healthcare.agent_transfer;I am not happy with your reply.
healthcare.agent_transfer;I'm not happy with your answer.
healthcare.agent_transfer;I am not pleased with your response.
healthcare.agent_transfer;I am not pleased with your answer.
healthcare.agent_transfer;I am not pleased with your reply.
healthcare.agent_transfer;i am not satisfied by your answer
healthcare.agent_transfer;I dont remember
healthcare.agent_transfer;I dont know the date of birth
healthcare.agent_transfer;I dont remember the date of birth
healthcare.agent_transfer;I dont remember my DOB
healthcare.agent_transfer;Yes Please transfer my call to virtual agent
healthcare.agent_transfer;No idea
healthcare.agent_transfer;agent
healthcare.agent_transfer;why can't you understand me
healthcare.agent_transfer;I'd like to speak to an agent
healthcare.agent_transfer;that's not what I  wanted
healthcare.agent_transfer;no that's not what I  wanted
healthcare.agent_transfer;can i please speak to a manager
healthcare.agent_transfer;can i speak with a person?
healthcare.agent_transfer;can i talk to a real  person
healthcare.agent_transfer;can you escalate this to a human
healthcare.agent_transfer;human  please
healthcare.agent_transfer;i need to speak to a real  person
healthcare.agent_transfer;i need to talk to someone
healthcare.agent_transfer;i only want to speak to a human
healthcare.agent_transfer;live agent
healthcare.agent_transfer;live human now  please
healthcare.agent_transfer;live rep  please
healthcare.agent_transfer;manager
healthcare.agent_transfer;no robots real human
healthcare.agent_transfer;operator
healthcare.agent_transfer;please transfer  me
healthcare.agent_transfer;real person  please
healthcare.agent_transfer;redirect  me  to a representative
healthcare.agent_transfer;redirect  me  to customer  service   please
healthcare.agent_transfer;representative
healthcare.agent_transfer;talk to human
healthcare.agent_transfer;this is frustrating
healthcare.agent_transfer;can i talk to someone
healthcare.agent_transfer;this isn't working
healthcare.agent_transfer;transfer  me  to a real  person
healthcare.agent_transfer;transition  me  to a customer  helper
healthcare.agent_transfer;zero
healthcare.agent_transfer;connect me to a live agent
healthcare.agent_transfer;I want to talk to a live agent
healthcare.find_doctor;I want to see a doctor for  dental
healthcare.find_doctor;see a in-network provider
healthcare.find_doctor;assist me to find a in-network provider
healthcare.find_doctor;Locate a in-network provider
healthcare.find_doctor;I think, it's time to schedule a follow up visit
healthcare.find_doctor;To be safe, I think I should schedule an appointment
healthcare.find_doctor;I guess, I should get check up done
healthcare.find_doctor;I think, it's best that I visit a doctor
healthcare.find_doctor;schedule an pp with a  physician
healthcare.find_doctor;I have to see a  pcp
healthcare.find_doctor;I need to schedule an appointment for  pcp
healthcare.find_doctor;I need to schedule a  pcp  appointment
healthcare.find_doctor;i need a  pcp
healthcare.find_doctor;physician
healthcare.find_doctor;I think, I am not feeling well, can you help me find a doctor for  primary care ?
healthcare.find_doctor;Help me locate a  physician
healthcare.find_doctor;Can you help me locate a near by  cardiologist
healthcare.find_doctor;Can you help me find a near by  physician
healthcare.find_doctor;Help me schedule an appointment with a  physician
healthcare.find_doctor;Can you help me find a  physician
healthcare.find_doctor;I want to meet a  physician
healthcare.find_doctor;I want to book an appointment with a  physician
healthcare.find_doctor;I want to schedule an appointment with a  physician
healthcare.find_doctor;want to meet a  psychiatrist
healthcare.find_doctor;help me find a  infertility  doctor
healthcare.find_doctor;I would like to find a doctor for  chiropractor
healthcare.find_doctor;I want to see someone for  primary care
healthcare.find_doctor;look for a  cardiologist
healthcare.find_doctor;find me a  cardiologist
healthcare.find_doctor;where can i find a  cardiologist
healthcare.find_doctor;where can i find a  Cardiologist
healthcare.find_doctor;i am looking for a  Cardiologist
healthcare.find_doctor;Cardiologist  i need
healthcare.find_doctor;look for a  Cardiologist
healthcare.find_doctor;check for  Cardiologist
healthcare.find_doctor;where can I meet a  Cardiologist
healthcare.find_doctor;need to see  Cardiologist
healthcare.find_doctor;is there any   physician
healthcare.find_doctor;I need to find an  dermatologist
healthcare.find_doctor;where can I find a  Dermatologist
healthcare.find_doctor;is there anyone  cardiologist
healthcare.find_doctor;where can i find an  Cardiologist
healthcare.find_doctor;i need to find an  Cardiologist
healthcare.find_doctor;Where can i locate a  physician  in my area
healthcare.find_doctor;Where would I find an  urologist ?
healthcare.find_doctor;Where could I find a  therapist ?
healthcare.find_doctor;Where would I find a  gynaecologist ?
healthcare.find_doctor;How could I select a  dermatologist ?
healthcare.find_doctor;Where should I find a  dermatologist ?
healthcare.find_doctor;Where else can I identify a  dentist ?
healthcare.find_doctor;Where can I spot a  psychiatrist ?
healthcare.find_doctor;Where can I discover a  physician ?
healthcare.faq_coordination;what exactly is coordination of benefits?
healthcare.faq_coordination;help me define the term coordination of benefits
healthcare.faq_coordination;What does  one  mean by  coordination of benefits
healthcare.faq_coordination;can you define corodination of benefits for me
healthcare.faq_coordination;help me understand the defination of corodination of benefits
healthcare.faq_coordination;what is the meaning of the term coordination of benefits
healthcare.faq_coordination;can i find information on coordination of benefits
healthcare.faq_coordination;i want to know about coordination of benefits
healthcare.faq_coordination;coordination of benefits details
healthcare.faq_coordination;what data is available on coordination of benefits
healthcare.faq_coordination;details on coordination of benefits
healthcare.faq_coordination;coordination of benefits information
healthcare.faq_coordination;hey bot can you help me know about coordination of benefits
healthcare.faq_coordination;give me information about Coordination of benefits
healthcare.faq_coordination;can you help me know about Coordination of benefits
healthcare.faq_coordination;I don't know what's coordination of benefits
healthcare.faq_coordination;explain  me  about  coordination of benefits
healthcare.faq_coordination;coordination of benefits info
healthcare.faq_coordination;give  me  information about  Coordination of benefits
healthcare.faq_coordination;let  me  know about  Coordination of benefits
healthcare.faq_coordination;brief  me  about  Coordination of benefits
healthcare.faq_coordination;information about  Coordination of benefits
healthcare.faq_coordination;tell  me  something about  Coordination of benefits
healthcare.faq_coordination;what's  Coordination of benefits
healthcare.faq_coordination;what is  Coordination of benefits
healthcare.network_doctor;I  have a doubt, can an out-of-network  physician  be covered in-network?
healthcare.network_doctor;how can  i  know if out-of-network  physician  be covered in-network?
healthcare.network_doctor;can you confirm if  an out-of-network  physician  be covered in-network?
healthcare.network_doctor;can you check if  an out-of-network  physician  be covered in-network?
healthcare.network_doctor;I am  curious, can an out-of-network  physician  be covered in-network?
healthcare.network_doctor;tell  me  if  out-of-network doctor can be covered in-network?
healthcare.network_doctor;Can in-network coverage be offered to an out-of-network  general practitioner ?
healthcare.network_doctor;Is it possible that an out-of-network  physician  be covered in-network?
healthcare.network_doctor;Will an out-of-network doctor treatment cost be covered like the in network one?
healthcare.network_doctor;Can an out-of-network doctor be compensated by in-network coverage?
healthcare.network_doctor;Will the cost of an out of network provider be covered similar to the in-network doctor?
healthcare.network_doctor;Can in-network coverage be extended to an out-of-network doctor?
healthcare.network_doctor;Can the  out in network doc be covered similar to in-network  physician ?
healthcare.network_doctor;Will an out-of-network doctor be covered like the in network?
healthcare.network_doctor;Can an out-of-network practitioner be covered in-network?
healthcare.network_doctor;Would a  physician  from outside the network be taken up by the network?
healthcare.network_doctor;Does a  physician  outside the out-of-network be taken up by the network?
healthcare.network_doctor;Would a practitioner outside of the network be filled by the network?
healthcare.network_doctor;Will a  physicians  outside of the network be taken up by the network?
healthcare.network_doctor;Could a  physician  outside of the network be covered by the network?
healthcare.network_doctor;please tell  me  if out-of-network  specialist  can be covered in- network
healthcare.network_doctor;check if an out-of-network doctor can be covered by in- network
healthcare.network_doctor;Can a doctor outside of the network be covered by the in-network?
healthcare.network_doctor;Can an out-of-network  physician  be covered in-network?
healthcare.network_doctor;Can an out-of-network doctor be covered in-network?
healthcare.faq_fsa;Help me understand the defination of FSA
healthcare.faq_fsa;can you define fsa for me
healthcare.faq_fsa;i am interested in knowing what the term flexible spending account means
healthcare.faq_fsa;i would like to know more about fsa
healthcare.faq_fsa;inform me about what is fsa
healthcare.faq_fsa;can you define fexible spending account
healthcare.faq_fsa;what do you mean by the term flexible spending amount
healthcare.faq_fsa;I have trouble understanding what a flexible spending account is, can you help
healthcare.faq_fsa;can i find information on flexible spending  account
healthcare.faq_fsa;who can open flexible spending  account
healthcare.faq_fsa;what should i know about flexible spending  account
healthcare.faq_fsa;what's a fsa
healthcare.faq_fsa;give  me  information about fsa
healthcare.faq_fsa;tell  me  about fsa
healthcare.faq_fsa;what is fsa
healthcare.faq_fsa;explain  me  about flexible spending  account
healthcare.faq_fsa;flexible spending account info
healthcare.faq_fsa;hey bot can you help  me  know about flexible spending  account
healthcare.faq_fsa;give  me  information about  flexible spending  account
healthcare.faq_fsa;can you help  me  know about flexible spending  account
healthcare.faq_fsa;let  me  know about flexible spending account
healthcare.faq_fsa;brief  me  about flexible spending  account
healthcare.faq_fsa;information about flexible spending  account
healthcare.faq_fsa;tell  me  something about flexible spending account
healthcare.faq_fsa;what is flexible spending  account
healthcare.faq_hdhp;can i find information on High Deductible Health Plan
healthcare.faq_hdhp;I don't know what's hdhp
healthcare.faq_hdhp;whats a high  deductble health plan
healthcare.faq_hdhp;what's  hdhp
healthcare.faq_hdhp;does  hdhp  has a higher annual  deductible  than traditional health plans.
healthcare.faq_hdhp;does high  deductble health plan  has a higher annual  deductible  than traditional health plans.
healthcare.faq_hdhp;which plan has  high deductible
healthcare.faq_hdhp;tell  me  about  HDHP
healthcare.faq_hdhp;explain  me  about  Hdhp
healthcare.faq_hdhp;explain  me  about  High Deductible Health Plan
healthcare.faq_hdhp;Hdhp  info
healthcare.faq_hdhp;High Deductible Health Plan  info
healthcare.faq_hdhp;hey bot can you help me know about Hdhp
healthcare.faq_hdhp;hey bot can you help me know about High Deductible Health Plan
healthcare.faq_hdhp;give  me  information about  Hdhp
healthcare.faq_hdhp;give  me  information about  High Deductible Health Plan
healthcare.faq_hdhp;can you help  me  know about  Hdhp
healthcare.faq_hdhp;can you help  me  know about  High Deductible Health Plan
healthcare.faq_hdhp;brief  me  about  High Deductible Health Plan
healthcare.faq_hdhp;let  me  know about Hdhp
healthcare.faq_hdhp;let  me  know about  High Deductible Health Plan
healthcare.faq_hdhp;brief  me  about  Hdhp
healthcare.faq_hdhp;information about  Hdhp
healthcare.faq_hdhp;tell  me  something about  hdhp
healthcare.faq_hdhp;tell  me  something about  High Deductible Health Plan
healthcare.faq_hdhp;what is  hdhp
healthcare.faq_hdhp;what is  High Deductible Health Plan
healthcare.faq_coinsurance;can i find information on co insurance
healthcare.faq_coinsurance;what is the meaning of the term co-insurance
healthcare.faq_coinsurance;Can you please define co-insurance
healthcare.faq_coinsurance;Define co-insurance
healthcare.faq_coinsurance;Explain the term co-insurance
healthcare.faq_coinsurance;Please explain what co-insurance means
healthcare.faq_coinsurance;Can you explain what co-insurance is
healthcare.faq_coinsurance;what do you mean by co-insurance
healthcare.faq_coinsurance;I don't know what's coinsurance
healthcare.faq_coinsurance;explain  me  about  coinsurance
healthcare.faq_coinsurance;explain  me  about  co insurance
healthcare.faq_coinsurance;how is the percentage of healthcare costs responsible for paying upfront  deductible .
healthcare.faq_coinsurance;how i can check the percentage of healthcare costs
healthcare.faq_coinsurance;hey bot can you help  me  know about  coinsurance
healthcare.faq_coinsurance;hey bot can you help  me  know about   co insurance
healthcare.faq_coinsurance;give  me  information about  co insurance
healthcare.faq_coinsurance;give  me  information about  co-insurance
healthcare.faq_coinsurance;give  me  information about  coinsurance
healthcare.faq_coinsurance;can you help  me  know about  coinsurance
healthcare.faq_coinsurance;can you help  me  know about  co-insurance
healthcare.faq_coinsurance;can you help  me  know about  co insurance
healthcare.faq_coinsurance;let  me  know about  coinsurance
healthcare.faq_coinsurance;brief  me  about  co insurance
healthcare.faq_coinsurance;information about  co insurance
healthcare.faq_coinsurance;what's  Co insurance
healthcare.faq_coinsurance;what is  co-insurance
healthcare.faq_coinsurance;what's a  coinsurance
healthcare.faq_coinsurance;what is  co insurance
healthcare.out_of_scope_questions;I want to understand my  life insurance
healthcare.out_of_scope_questions;I need to  refill a prescription
healthcare.out_of_scope_questions;should I renew by  healthcare plan
healthcare.out_of_scope_questions;help me find a near by  pharmacy
healthcare.out_of_scope_questions;Can you confirm if  fertility  insurance is part of my benefits coverage
healthcare.out_of_scope_questions;How can I pay for my  insulin ?
healthcare.out_of_scope_questions;How can I pay for my  chemo ?
healthcare.out_of_scope_questions;I want to confirm if  eye  insurance is a part of my benefits coverage
healthcare.out_of_scope_questions;chemo  is included in benefits coverage?
healthcare.out_of_scope_questions;Can you confirm if  tablet  is part of my benefits plan
healthcare.out_of_scope_questions;I want to confirm if  eye  insurance is a part of my benefits plan
healthcare.out_of_scope_questions;chemo  is covered in my benefits plan, right?
healthcare.out_of_scope_questions;Can you confirm if  chemo  is part of my plan
healthcare.out_of_scope_questions;I want to confirm if  teeth  insurance is a part of my plan
healthcare.out_of_scope_questions;chemo  is covered in my plan, right?
healthcare.out_of_scope_questions;Is  insulin  part of my plan
healthcare.out_of_scope_questions;I want to know if  chemo  is included in my plan
healthcare.out_of_scope_questions;Is  cardiac  surgery covered under my benefits coverage
healthcare.out_of_scope_questions;Is  chemo  part of my benefits coverage
healthcare.out_of_scope_questions;Is  vision  insurance included in my benefits plan
healthcare.out_of_scope_questions;Can you tell me if  chemo  is covered under my benefits plan
healthcare.out_of_scope_questions;Does my benefits plan cover  chemo
healthcare.out_of_scope_questions;Am I covered for  medication  under my benefits
healthcare.out_of_scope_questions;Is  teeth  insurance included in my benefits plan
healthcare.out_of_scope_questions;Is  chemo  included in my benefits plan?
healthcare.out_of_scope_questions;Is  chemo  included in my plan
healthcare.out_of_scope_questions;Can you tell me if  eye  insurance is covered under my plan
healthcare.out_of_scope_questions;Does my plan cover  dental
healthcare.out_of_scope_questions;Does my insurance cover  insulin
healthcare.out_of_scope_questions;Am I covered for  chemo
healthcare.out_of_scope_questions;Is  annual physical  included in the plan?
healthcare.out_of_scope_questions;can i ask you questions regarding   eye  insurance
healthcare.out_of_scope_questions;tell me if  insurance cover  dental
healthcare.out_of_scope_questions;does  insurance cover  fertility
healthcare.out_of_scope_questions;eye  insurance
healthcare.out_of_scope_questions;teeth  insurance
healthcare.out_of_scope_questions;fertility  insurance
healthcare.out_of_scope_questions;vision  insurance
healthcare.out_of_scope_questions;dental  insurance
healthcare.out_of_scope_questions;give me more information about  vision  insurance
healthcare.out_of_scope_questions;what information do you have on  dental  insurance
healthcare.out_of_scope_questions;tell me more about  fertility  insurance
healthcare.out_of_scope_questions;how can i check   vision  insurance
healthcare.out_of_scope_questions;Is there an insurance coverage for my  cardiac  surgery?
healthcare.out_of_scope_questions;does my health benefits cover  vision  insurance
healthcare.out_of_scope_questions;help me know about my  fertility  insurance
healthcare.out_of_scope_questions;do you cover  fertility  insurance
healthcare.out_of_scope_questions;i want to know about my  vision  insurance
healthcare.out_of_scope_questions;do you provide answers regarding  dental
healthcare.out_of_scope_questions;Can I ask you questions about my  dental ,  vision , or  fertility  insurance too?
healthcare.free_at_specific_time;I  would prefer wednes  at 6  for the doctor's  visist
healthcare.free_at_specific_time;I would like to visit the doc at  3pm tomorrow
healthcare.free_at_specific_time;schedule an app for  tonight at 8
healthcare.free_at_specific_time;book an app for  tomorrow  evening
healthcare.free_at_specific_time;schedule for  4pm today
healthcare.free_at_specific_time;First of next month at  5pm
healthcare.free_at_specific_time;I  guess,  next week   at 2pm
healthcare.free_at_specific_time;Today  anytime works
healthcare.free_at_specific_time;Given a choice  day after tomorrow , anytime in the eve
healthcare.free_at_specific_time;my preference is  wed at 4pm
healthcare.free_at_specific_time;I would like if it's  tomorrow   morning
healthcare.free_at_specific_time;I  would prefer if its  tomorrow around 9 am
healthcare.free_at_specific_time;Ummm, preferabbly  today  around  5pm
healthcare.free_at_specific_time;will  wed at 1pm  work?
healthcare.free_at_specific_time;8 am, next tues
healthcare.free_at_specific_time;at  noon  this  monday
healthcare.free_at_specific_time;at  7pm  this  friday
healthcare.free_at_specific_time;2/11/20 at 4 pm
healthcare.free_at_specific_time;23rd dec at 2 pm
healthcare.free_at_specific_time;It would be great if we can schedule it  at 2 pm   thrusday
healthcare.free_at_specific_time;Ideally  tomorrow  between  1pm - 3pm
healthcare.free_at_specific_time;I  belive  tomorrow, 6 pm  is fine
healthcare.free_at_specific_time;I  think,  8pm this friday  works
healthcare.free_at_specific_time;available on  26th November at 2pm
healthcare.free_at_specific_time;available  today between 2pm and 3pm
healthcare.free_at_specific_time;I am free  tomorrow
healthcare.free_at_specific_time;i  will be available  today after 4pm
healthcare.free_at_specific_time;I  will be available  today at 2pm
healthcare.free_at_specific_time;tomorrow 2 to 3
healthcare.free_at_specific_time;I  will be available around  6pm today
healthcare.free_at_specific_time;tomorrow between 12pm and 1pm
healthcare.free_at_specific_time;tomorrow at 12pm
healthcare.free_at_specific_time;i am ready in the  end of the day
healthcare.free_at_specific_time;I'm prepared for  today  eod.
healthcare.free_at_specific_time;I'm prepared for eod  today .
healthcare.free_at_specific_time;I'm set for  coming monday .
healthcare.free_at_specific_time;I'm set for later  today .
healthcare.free_at_specific_time;I'm prepared for  coming monday .
healthcare.free_at_specific_time;I'm prepared for  next week .
healthcare.free_at_specific_time;I'm prepared for  tomorrow morning .
healthcare.free_at_specific_time;I'm ready for  2 and 3 tomorrow  in the  evening
healthcare.free_at_specific_time;I'm ready for  2  and  3 tomorrow .
healthcare.free_at_specific_time;Tomorrow  I am ready  about 2 and 3
healthcare.free_at_specific_time;Tomorrow  I'm free  between 2 and 3  in the morning.
healthcare.free_at_specific_time;Tomorrow  I am ready around  2  and  3 .
healthcare.free_at_specific_time;Between 2 and 3 , I'm free  tomorrow
healthcare.free_at_specific_time;Tomorrow ,  between 2 and 3 , I'm free.
healthcare.free_at_specific_time;Tomorrow ,  between 2 and 3 , I am free.
healthcare.free_at_specific_time;I am free  tomorrow between 2 and 3
healthcare.free_at_specific_time;I am free  today from 5 pm
healthcare.out_of_scope_benefits;Please inform  me  the cost for  co-payment
healthcare.out_of_scope_benefits;Help  me  with the cost for  co-payment
healthcare.out_of_scope_benefits;can you inform  me  the cost for  co-payment
healthcare.out_of_scope_benefits;For  co-payment , please help  me  with the cost
healthcare.out_of_scope_benefits;what is the cost for  co-payment   Treatment
healthcare.out_of_scope_benefits;For  co-payment , tell  me  the cost
healthcare.out_of_scope_benefits;For  co-payment , how much do I pay?
healthcare.out_of_scope_benefits;For  co-payment , what is the cost
healthcare.out_of_scope_benefits;co-payment  will cost  me  how much?
healthcare.out_of_scope_benefits;How much will  co-payment  cost  me
healthcare.out_of_scope_benefits;What is the cost for  co-payment
healthcare.out_of_scope_benefits;Can you help  me  with the cost for  co-payment
healthcare.out_of_scope_benefits;Do I need to pay for  co-payment
healthcare.out_of_scope_benefits;Do I have to pay for  co-payment
healthcare.out_of_scope_benefits;Cost for  co-payment
healthcare.out_of_scope_benefits;How much does  co-payment  cost
healthcare.out_of_scope_benefits;Please tell the cost for  co-payment
healthcare.out_of_scope_benefits;How much do I need to spend for  co-payment
healthcare.out_of_scope_benefits;and how much do I pay for  co-payment ?
healthcare.out_of_scope_benefits;co-payment  costs ?
healthcare.out_of_scope_benefits;Tell  me  the cost for  co-payment
healthcare.out_of_scope_benefits;Can you tell  me  the cost for  co-payment
healthcare.out_of_scope_benefits;How much do I need to pay for  co-payment
healthcare.out_of_scope_benefits;How much do I have to pay for  co-payment
