intent;utterance
flights.customer_service;live  agent
flights.customer_service;i only want to speak to a human
flights.customer_service;i need to talk to someone
flights.customer_service;i need to speak to a real person
flights.customer_service;human please
flights.customer_service;can you escalate this to a human
flights.customer_service;can i talk to a real person
flights.customer_service;can i speak with a person?
flights.customer_service;can i please speak to a manager
flights.customer_service;agent
flights.available_points;Do I have any miles in my frequent flyer account?
flights.available_points;How many points have accumulated in my account recently? Please check the account  272584
flights.available_points;Is there enough miles on my flyer account to get a free ticket?
flights.available_points;Can I buy a ticket using flight points? My account number is  927258
flights.available_points;Are there many miles left on my frequrnt flyer account?
flights.available_points;The balance on my account is
flights.available_points;I took a few flights  last year , but don't know if I have enough points for a free ticket. Please chck for me.
flights.available_points;Check my frequent flyer points How Many miles are on my account?
flights.available_points;163893  is my Frequent Flyer account number. What is the available points
flights.available_points;How many more miles to earn a free ticket? Account  976753
flights.available_points;Will account  358753  qualify for a free ticket soon?
flights.available_points;How many points are on the account?
flights.available_points;I signed up for frequent flyer. The account is  09468753 .
flights.available_points;My account number is  09256783 . What is the status of my points?
flights.available_points;Can you check for me? Did  09258903  earn enough points for a free flight
flights.available_points;"My account  09658953  has points, but I don;t know how many."
flights.available_points;Check my account  09272583  for available airline points
flights.available_points; Does  09180274  have any points on it
flights.available_points;How many points do I have in my account?
flights.available_points;09532718  is my account number.
flights.available_points;Number  09182753 . Check my points.
flights.available_points;My frequent flyer number is  09384756 . How many point do I have available for use?
flights.refund_request;A refund. I want a refund.
flights.refund_request;Please refund my ticket
flights.refund_request;How do i request a refund?
flights.refund_request;If I am sick, can I get a refund?
flights.refund_request;If I dont want my ticket anymore. Can I get my money back?
flights.refund_request;I want my oney back. How can I do this?
flights.refund_request;I have COVID  19  so I can't fly. Please process my refund.
flights.refund_request;I am too sick to fly. I need a refund
flights.refund_request;I want a full refund to my credit card. I am not going to fly.
flights.refund_request;Can you cancel my ticket and give me a refund?
flights.refund_request;I need help with my refund.
flights.refund_request;Please help me get a refund.
flights.refund_request;What do I need to do to get a refund?
flights.refund_request;Can you return the cost of my ticket to my credit card?
flights.refund_request;I changed my mind. Please refund my ticket
flights.refund_request;Dont goive me a credit. I want a refund
flights.refund_request;I don't want account credit. Please give me a refund
flights.refund_request;Will you refund the cost of my ticket
flights.refund_request;Can I get a refund?
flights.refund_request;Please return my ticket
flights.refund_request;I want a refund
flights.how_many_suitcases;what number of bags can you bring
flights.how_many_suitcases;what's the luggae limit like how many bags are allowed
flights.how_many_suitcases;How many carry-ons are allowed
flights.how_many_suitcases;whats the max weight for a bag
flights.how_many_suitcases;how many suitcases are allowed
flights.how_many_suitcases;are  2  carry on bags ok?
flights.how_many_suitcases;What is the weight limit for suit cases
flights.how_many_suitcases;What is the weight liit for my luggage
flights.how_many_suitcases;Tell me abotu the size limit for luggage?can i check  three  bags for free
flights.how_many_suitcases;My luggages are very large. What is the limit you take on the size?
flights.how_many_suitcases;What is the excess luggage sixe limit
flights.how_many_suitcases;Is there a suitcase limit My boxes are really big.
flights.how_many_suitcases;Is  six  luggages too many for the flight?
flights.how_many_suitcases;I want to bring  2  suitcases and  1  carry on . is that okay
flights.how_many_suitcases;I need to find out how big is too big for a free bag
flights.how_many_suitcases;How many can i check in
flights.how_many_suitcases;I am moving and need to bring many packs with me.
flights.how_many_suitcases;How many cases can i bring
flights.how_many_suitcases;Do you charge for more than  2  suitcases
flights.how_many_suitcases;Do you change for  four  bags
flights.how_many_suitcases;Can I bring  5  suitcases ont eh flight
flights.how_many_suitcases;Cab i bring  three  carry on items
flights.senior_discount;Can I get a cheaper ticket as a senior?
flights.senior_discount;any discounts for retired people like me?
flights.senior_discount;how can you get a senior discount
flights.senior_discount;I am over 65 will I get any discount for that
flights.senior_discount;what about any senior discounts
flights.senior_discount;I am considered a senior, will I get any discount for that?
flights.senior_discount;Old man discount is how much
flights.senior_discount;Is the old timer discount over  10%
flights.senior_discount;Is the senior discount only for over  55 ? Is that possible?
flights.senior_discount;I want to use my senior discount on my family.
flights.senior_discount;I want to fly on a grandmother discount
flights.senior_discount;I want an old lady discount
flights.senior_discount;I need a golden girls discount to buy the ticket. Can you sign me up for one?
flights.senior_discount;I am in newly retired. can I get a senior discount
flights.senior_discount;How much is the elderly discount
flights.senior_discount;How about a discount for over  65 . Is that available?
flights.senior_discount;Do you have a senior citizen discount
flights.senior_discount;Do senior spouses get a discount
flights.senior_discount;Can my whole family use the senior discount
flights.senior_discount;Can I get a senior discount?
flights.senior_discount;A senior discount is valid for my whole family or just me?
flights.is_ticket_refundable;I hope this is a refundabel ticket please let me know or confirm
flights.is_ticket_refundable;will I get some of my money back like is it refundable
flights.is_ticket_refundable;can I get a my money back if I change my mind
flights.is_ticket_refundable;is this a refundable ticket
flights.is_ticket_refundable;just want to confirm that this ticket is actually refundabel
flights.is_ticket_refundable;If I change my mind about this trip will I get a refund?
flights.is_ticket_refundable;Your tickets are resundable right?
flights.is_ticket_refundable;Your tickets are refundable right?
flights.is_ticket_refundable;The refund is on each ticket, is it?
flights.is_ticket_refundable;The refund is available on this ticket, true?
flights.is_ticket_refundable;Refundable tickets are part of the sale, right
flights.is_ticket_refundable;If i want a refund, how long do i have
flights.is_ticket_refundable;If i cancel the ticket, can i get a refund
flights.is_ticket_refundable;How long i have to think about the ticket and shrill get a refund
flights.is_ticket_refundable;How long do i have to refund my ticket
flights.is_ticket_refundable;Do yiou sell refundable tickets?
flights.is_ticket_refundable;"Can the ticket be returned if i don;t need it later"
flights.is_ticket_refundable;Can I get a refund, or is it a credit to the account?
flights.is_ticket_refundable;Can i change my mind later
flights.is_ticket_refundable;After i pay, can i get a refund to the same card
flights.is_ticket_refundable;A refund is valid for how long
flights.account_credit;whats the balance on my account 
flights.account_credit;The balance on my account is
flights.account_credit;looking for my old ticket
flights.account_credit;find paid ticket
flights.account_credit;look up ticket
flights.account_credit;Do I need to call customer service to et my account credits?
flights.account_credit;Who can tell me my account credits, this chat or customer service?
flights.account_credit;Is this where I can find out my account credit
flights.account_credit;Who can tell me if there is a credit on the account
flights.account_credit;I need to find my account credit. Haow can I do this?
flights.account_credit;The credit on my account. How much is it?
flights.account_credit;How much do I have towards my next flight?
flights.account_credit;My account should have a credit on it.
flights.account_credit;Did the credit for the flight on  Monday , reach my account?
flights.account_credit;Where is my account credit for my cancelled flight in  january ?
flights.account_credit;Last month , I received a credit for a missed flight, but I forgot how much it was.
flights.account_credit;What is the balance of the credit on my account? 
flights.account_credit;Please help me. Are you able to tell me how many account credits I have?
flights.account_credit;I don't know where to look for my account credits.
flights.account_credit;Can you check for me? Where are my account credits?
flights.account_credit;I don't know if I have any account credits.
flights.account_credit;Can you tell me the account credit balance I don't know if I have any account credits.
flights.account_credit;What about the credit on my account from my cancelled flight?
flights.account_credit;How can I find my account credits?
flights.account_credit;Do I have any account credits?
flights.account_credit;Is there a credit on my account?
