intent;utterance
payment_arrangement.no_service_interruption;"ok perfect.
 but will that interrupt any of my phone services"
payment_arrangement.no_service_interruption;this isnt going to interrupt my service at all? because i really cant have my phone off right now. im in the middle of moving out of state and i need my phone on.
payment_arrangement.no_service_interruption;will my service still be active and thank you so much
payment_arrangement.no_service_interruption;that works. would there be any interruptions on my service
payment_arrangement.no_service_interruption;will that stop my services from turing off
payment_arrangement.no_service_interruption;will that prevent interruption of service?
payment_arrangement.no_service_interruption;"ok.
 is that guaranteed that my line wont be disconnected because i will be out of the country and i need the phone to be active."
payment_arrangement.no_service_interruption;"will my services be interrupted ?
 my services has never been disconnected
 since i have had yall"
payment_arrangement.no_service_interruption;and the services wont be interrupted?
payment_arrangement.no_service_interruption;okay and what will happen to my service while you all complete this?
payment_arrangement.no_service_interruption;will this avoid service interruption
payment_arrangement.no_service_interruption;so the system will not show the 16th? but it will not interrupt my service ?
payment_arrangement.no_service_interruption;so once we do this payment arrangement this will guarantee my service will not be canceled correct?
payment_arrangement.no_service_interruption;ok awesome. and service wont be interrupted unless i miss the payment correct?
payment_arrangement.no_service_interruption;and my service will not be suspended?
payment_arrangement.no_service_interruption;that would be perfect and this will avoid service interruption?
payment_arrangement.no_service_interruption;i want to be able to pay my arrangement of 90 on friday and want to ensure service is not shut off
payment_arrangement.no_service_interruption;okay. my service will not get turned off will it?
payment_arrangement.no_service_interruption;ok but my service will be good and not interrupted?
payment_arrangement.late_payment_fee;what is the late fee?
payment_arrangement.late_payment_fee;late fee?
payment_arrangement.late_payment_fee;is there a late fee?
payment_arrangement.late_payment_fee;will there be a fee associated?
payment_arrangement.late_payment_fee;will there be a fee for setting up the arrangement
payment_arrangement.late_payment_fee;how much the late fee
payment_arrangement.late_payment_fee;i accidentally paid .24 less than my bill. will i be charged a late fee?
payment_arrangement.late_payment_fee;how much is a late fee
payment_arrangement.late_payment_fee;"hello i was paying my bill and noticed a late payment charge i paid my last bill on july 5th
 is there no US_FEMALE_NAME period for the bill ?"
payment_arrangement.late_payment_fee;what is the late fee charge or is there a US_FEMALE_NAME period each month
payment_arrangement.late_payment_fee;how much is the late fee
payment_arrangement.late_payment_fee;just wondering why the late fee for june is $35.34 and the late fee for july is $89.45?
payment_arrangement.late_payment_fee;okay thank you! so then because i paid my bill today i was not charged a late fee as of yet?
payment_arrangement.late_payment_fee;"did i get charged an extra $50 for missed scheduled payment ?
 my bill is always $140"
payment_arrangement.late_payment_fee;"no problem
 did i get charged for a late fee on my next month bill ?"
payment_arrangement.late_payment_fee;i was going to ask if i pay half of my bill now and the other after the due date will i still be charged a late fee?
payment_arrangement.late_payment_fee;so ill be charged an additional 5$ for a late fee?
payment_arrangement.send_confirmation;will you send me a confirmation?
payment_arrangement.send_confirmation;will you send me an email?
payment_arrangement.send_confirmation;Will I receive confirmation of this arrangement?
payment_arrangement.send_confirmation;thats all . will i receive confirmation of this arrangement
payment_arrangement.send_confirmation;ok will i be receiving a confirmation text or email?
payment_arrangement.send_confirmation;and i should receive a text regarding that soon?
payment_arrangement.send_confirmation;"is there a way for me to send the text confirmation that i received stating my payment arrangement was set for 8/23
 im very setup that i was lied to"
payment_arrangement.send_confirmation;ok great ! can i get confirmation email/text ?
payment_arrangement.send_confirmation;"will i also get an email
 so i will get a call verifying a payment has been arranged"
payment_arrangement.send_confirmation;i usually would get a text or email confirmation how can i be sure..
payment_arrangement.send_confirmation;can you send me a confirmation text of the payment arrangement date
payment_arrangement.send_confirmation;can you send me a text confirmation email
payment_arrangement.send_confirmation;"ok. can you send confirmation text to both cell phones?
 xxxx and xxxx?"
payment_arrangement.send_confirmation;can you also send me email of my payment arrangement please
payment_arrangement.send_confirmation;"aug 27 please. will i be able to get a conformation of this arrangement?
 confirmation
 rather"
payment_arrangement.send_confirmation;no thats it do i need a confirmation #
payment_arrangement.send_confirmation;will i get a text
payment_arrangement.send_confirmation;is there any way i can get a confirmation about that change?
payment_arrangement.send_confirmation;"so i can pay the $315 thursday
 can u please send text to me
 confirmation"
payment_arrangement.send_confirmation;okay thanks. can i get a confirmation to a make sure that it will not be due until 9/2
payment_arrangement.send_confirmation;"can you sent me an emailed with the arragment
 or text"
payment_arrangement.send_confirmation;can you send the confirmation to email please
payment_arrangement.send_confirmation;"can i get a confirmation text
 are you sure
 because i dont want no interruptions"
payment_arrangement.send_confirmation;"will i get an email?
 or a text message"
payment_arrangement.send_confirmation;thank you! and can you text or email confirmation?
payment_arrangement.send_confirmation;"not yet
 with text or email?"
payment_arrangement.send_confirmation;thank you US_MALE_NAME can you send me a confirmation number
payment_arrangement.send_confirmation;can you please email me the confirmation?
payment_arrangement.send_confirmation;will i receive a confirmation?
payment_arrangement.send_confirmation;ok thank you. can you send a text or email reminder as well?
payment_arrangement.send_confirmation;will i get a confirmation email to make sure this gets done so i dont lose service?
payment_arrangement.send_confirmation;"okay
 please send confirmation of this so i can document."
payment_arrangement.send_confirmation;thank you can i get a confirmation number
payment_arrangement.send_confirmation;"will i receive a confirmation text on this
 thank you!!! just received"
payment_arrangement.send_confirmation;thank you you will email this information to me right?
payment_arrangement.send_confirmation;when will i get the notification for the payment arrangement?
payment_arrangement.send_confirmation;can i get an email or some confirmation of this agreement
payment_arrangement.send_confirmation;"yes
 will it show or will i recieve a text for arrangement made"
payment_arrangement.send_confirmation;"will i receive a text confirming this change?
 the last time i changed an arrangement i was told it was changed and its wasn't and my account was suspended."
payment_arrangement.send_confirmation;ok thank you can you send confirmation to my number PHONE_NUMBER
payment_arrangement.send_confirmation;can you send me an email explaining the arrangements?
payment_arrangement.send_confirmation;can i get a confirmation email sent to my xxxx line
payment_arrangement.send_confirmation;"i have to get some things for the new baby.
 can i get a confirmation to my email too please?"
payment_arrangement.send_confirmation;i believe i need a reference or confirmation since i was told i would need one. why can't i get a confirmation text or email before we close chat?
payment_arrangement.send_confirmation;"will i receive a text message with this arrangement/
 ?"
payment_arrangement.send_confirmation;that will be all for today will i receive and email or text about this
payment_arrangement.send_confirmation;can i get a text confirmation please ?
payment_arrangement.send_confirmation;thank you. am i getting a written confirmation?
payment_arrangement.send_confirmation;i usually recevie text confirmation. is that possible
payment_arrangement.send_confirmation;as i also work in a call center. can a text message be sent instead to confirm?
payment_arrangement.send_confirmation;will i receive a confirmation. i haven't received on e yet
payment_arrangement.send_confirmation;please send me a text to confirm all ok please
payment_arrangement.send_confirmation;thank u leo it wont let me email a copy of this transcript can u email me one to EMAIL_ADDRESS and to EMAIL_ADDRESS to both emails please
payment_arrangement.send_confirmation;thx will i receive an email
payment_arrangement.send_confirmation;send me an email of the changes plz
payment_arrangement.send_confirmation;"can you send me email?
 with that info?"
payment_arrangement.send_confirmation;and please send confirmation email for me too sharene!
payment_arrangement.send_confirmation;"ok thank you very much
 will i get an email stating that?"
payment_arrangement.send_confirmation;send the confirmation to my cell
payment_arrangement.send_confirmation;can i please get email conformation
payment_arrangement.send_confirmation;"will i get a text?
 about the payment?
 so i can put it on my planner"
payment_arrangement.send_confirmation;can you email or text me at PHONE_NUMBER...with those details?
payment_arrangement.send_confirmation;"where can i forward the text for proof ?
 i got a text here showing the pymt date is 14th
 from wed july 31"
payment_arrangement.send_confirmation;could you please email me a transcript of this chat? i asked earlier and did not receive one.
payment_arrangement.second;last option
payment_arrangement.second;last
payment_arrangement.second;extend the due date
payment_arrangement.second;extend due date
payment_arrangement.second;payment extension
payment_arrangement.second;late payment please
payment_arrangement.second;late payment
payment_arrangement.second;option  2
payment_arrangement.second;an extension  please
payment_arrangement.second;due date
payment_arrangement.second;due date extension
payment_arrangement.second;extend
payment_arrangement.second;extension
payment_arrangement.second;2  please
payment_arrangement.second;number  two
payment_arrangement.second;number  2
payment_arrangement.second;2
payment_arrangement.second;the  second one
payment_arrangement.second;the last option
payment_arrangement.second;second  please
payment_arrangement.second;second  one  please
payment_arrangement.second;second  option
payment_arrangement.second;option  two
payment_arrangement.second;two
payment_arrangement.second;2nd
payment_arrangement.second;the second one
payment_arrangement.second;second
