intent;utterance
bill_reduction.other_options;Help me know about the other options.
bill_reduction.other_options;Let me know the better options.
bill_reduction.other_options;Can you tell me the other options?
bill_reduction.other_options;I want a better option.
bill_reduction.other_options;I would like you to search for other ways.
bill_reduction.other_options;I want to get details of other options.
bill_reduction.other_options;Are these the available options? Do I have any other?
bill_reduction.other_options;Is there any better way?
bill_reduction.other_options;Is there a better way?
bill_reduction.other_options;Could you get me another option?
bill_reduction.other_options;What other options do I have?
bill_reduction.other_options;Is there a better option?
bill_reduction.other_options;I did not like either of these options. Is there any other?
bill_reduction.other_options;Are there other ways?
bill_reduction.other_options;I would like to know other ways to reduce my bill.
bill_reduction.other_options;Do you have any other choices?
bill_reduction.other_options;Are there other options?
bill_reduction.other_options;What other options are there?
faq.plan_questions;I want to understand the available plans.
faq.plan_questions;Which plan do you recommend for my needs?
faq.plan_questions;Can I customize any plans to suit my needs?
faq.plan_questions;I’m confused with the various plans. Can you help me choose the right one?
faq.plan_questions;Would you be able to help me pick the right plan for my needs?
faq.plan_questions;Could you explain the details of various plans?
faq.plan_questions;I have some plan related questions.
faq.plan_questions;I need help understanding the various plans I could choose from.
faq.plan_questions;Could you explain to me the different plans you have?
faq.plan_questions;What plans do you have?
faq.plan_questions;What are the various plan choices I have?
faq.plan_questions;What are the available plan questions?
faq.plan_questions;Plan questions please.
faq.plan_questions;Can you tell me more about plan questions?
faq.plan_questions;Plan questions available?
faq.plan_questions;More details about plan questions?
faq.plan_questions;I want to know more details about plan questions.
faq.plan_questions;Please tell me more about plan questions.
faq.plan_questions;More Info about plan questions.
faq.plan_questions;Let me know more about the plan questions.
faq.plan_questions;Tell me more about the plan questions.
faq.plan_questions;Help me know about the plan questions.
faq.plan_questions;Can I know the type of plan questions you can help to resolve?
faq.plan_questions;What are the plan types available?
faq.plan_questions;I want to know about plan questions.
faq.plan_questions;Plan questions
faq.bill_reduction.other_purchases;Do you notice any other purchases?
faq.bill_reduction.other_purchases;Did you notice any other purchases?
faq.bill_reduction.other_purchases;Is that it or are there any more purchases?
faq.bill_reduction.other_purchases;Please enlighten me about the other purchases that were made recently.
faq.bill_reduction.other_purchases;I’d like to be aware of all the other purchases made.
faq.bill_reduction.other_purchases;Please let me know if any other purchases have been added.
faq.bill_reduction.other_purchases;I’d like to know what other purchases were added.
faq.bill_reduction.other_purchases;What are the other purchases that I made?
faq.bill_reduction.other_purchases;What purchases did I make?
faq.bill_reduction.other_purchases;Did I make any other purchases?
faq.bill_reduction.other_purchases;Are there any other purchases that I should be aware of?
faq.bill_reduction.other_purchases;Other purchases?
faq.bill_reduction.other_purchases;Put me in loop if there are any other purchases.
faq.bill_reduction.other_purchases;Enrich me with the knowledge of other purchases.
faq.bill_reduction.other_purchases; please let me know about other purchases.
faq.bill_reduction.other_purchases;If possible
faq.bill_reduction.other_purchases;It would be grateful if you let me know about the other purchases.
faq.bill_reduction.other_purchases;Please let me know if there are any other purchases.
faq.bill_reduction.other_purchases;Is it possible for you to tell me about other purchases.
faq.bill_reduction.other_purchases;I want to know if there are any other purchases?
faq.bill_reduction.other_purchases;Tell me about any other purchases.
faq.bill_reduction.other_purchases;Can you tell me about other purchases?
faq.bill_reduction.other_purchases;Help me get the information about any other purchases.
faq.bill_reduction.other_purchases;Any other purchases?
faq.bill_reduction.other_purchases;Let me know if there are other purchases?
faq.bill_reduction.other_purchases;Is there any other purchase?
faq.bill_reduction.other_purchases;Are there any other purchases?
phone_plan.new_line_add;Need another line for my phone starting  next month .
phone_plan.new_line_add;Could you include another line?
phone_plan.new_line_add;Could you add one more line to my phone account?
phone_plan.new_line_add;What is the process to include an additional line in my account?
phone_plan.new_line_add;Can you add a new phone line for my spouse?
phone_plan.new_line_add;I want to add two new phone lines for my kids.
phone_plan.new_line_add;I want a new phone line for my daughter.
phone_plan.new_line_add;I want a new phone line for my son.
phone_plan.new_line_add;Could you please add a new phone line?
phone_plan.new_line_add;What is the process to add a new line to my plan?
phone_plan.new_line_add;How would my pricing change if I add a new line to my plan?
phone_plan.new_line_add;I’d like to add a new line to my plan.
phone_plan.new_line_add;Please help adding a new line to my account.
phone_plan.new_line_add;How do I add another line to my plan?
phone_plan.new_line_add;How much do I need to pay if I add another line to my plan?
phone_plan.new_line_add;I need too add another new line to my current plan
phone_plan.new_line_add;Please add another new line to my existing plan
phone_plan.new_line_add;Can we add another line to my plan?
phone_plan.new_line_add;Can you add a new line to my account? How much do I need to pay?
phone_plan.new_line_add;How much is it to add a line to my current plan?
phone_plan.new_line_add;How much does it cost to add a line to my existing plan?
phone_plan.new_line_add; how much more it would cost?
phone_plan.new_line_add;Can I add another line to my existing plan
phone_plan.new_line_add;How much would it cost to add new line to my plan?
phone_plan.new_line_add;I want to add new mobile line to my existing plan
phone_plan.new_line_add;I was wondering how much more I would need to pay if I added another mobile line to our plan
phone_plan.new_line_add;How much to pay if I add other line to my plan
phone_plan.new_line_add;I want to add new line
phone_plan.cruise_plan_add;Please add cruise plan to all my wireless phone lines.
phone_plan.cruise_plan_add;How do I remain connected with my family while I am on a cruise vacation? Do I need 
phone_plan.cruise_plan_add;Please make my current phone work on a cruise for 8 days.
phone_plan.cruise_plan_add;We are going on a honeymoon trip to Hawaii! Can we have some kind of a cruise phone plan for 6 days?
phone_plan.cruise_plan_add;Can I make use of the remaining minutes on my current phone plan while I am on a cruise?
phone_plan.cruise_plan_add;May I get cruise pass on my phone for the the next 7 days?
phone_plan.cruise_plan_add;I need to add cruise plan to my phone temporariliy.
phone_plan.cruise_plan_add;Will my current phone work on cruise ship? Do I need to take a special plan?
phone_plan.cruise_plan_add;I want to use my phone on a cruise ship. Do you have any recommendations?
phone_plan.cruise_plan_add;Can you expand my coverage to cruise ships for the next 1 week?
phone_plan.cruise_plan_add;Is my phone capable of working while on a cruise?
phone_plan.cruise_plan_add;Is  there a cruise ship calling package for my phone?
phone_plan.cruise_plan_add;Can I use text and data while on a cruise
phone_plan.cruise_plan_add;I'm taking Norwegian Cruise line for about 6 days. Is there a special phone plan I could use?
phone_plan.cruise_plan_add;Any mobile phone service while I'm on a cruise vacation?
phone_plan.cruise_plan_add;How to use my cell phone ona cruise liner?
phone_plan.cruise_plan_add;How do I avoid roaming charges on a cruise?
phone_plan.cruise_plan_add;Can I get cruise phone plan for 5 days?
phone_plan.cruise_plan_add;Can you make my phone work on Carnival cruise? I will be on it for the next 1 week!
phone_plan.cruise_plan_add;We are going on a Cruise vacation to Hawaii!! How will I make my phone work on a cruise?
phone_plan.cruise_plan_add; please :)
phone_plan.cruise_plan_add; Yay! Could you add cruise pass
phone_plan.cruise_plan_add;I am going on a Disney cruise to Bahamas
phone_plan.cruise_plan_add;I will be on a Princess cruise from 11th to 17th. Please include travel pass on my phone.
phone_plan.cruise_plan_add;I am taking Royal caribbean Cruise for the next 7 days. Can you add travel pass to my phone?
phone_plan.cruise_plan_add;how do I make my phone work in a Cruise ship?
phone_plan.cruise_plan_add;I'm going on a cruise and need a package for my 4 days there
phone_plan.cruise_plan_add;I need coverage for a cruise I'm going on to greece
phone_plan.cruise_plan_add;going on a cruise to barbados for 3 days
phone_plan.cruise_plan_add;i'm taking a cruise to puerto vallarta and want to be able to use my 
phone_plan.cruise_plan_add;i'm taking a cruise to  puerto vallarta  and want to be able to use my phone
phone_plan.cruise_plan_add;going on a cruise to  barbados  for  3  days
phone_plan.cruise_plan_add;I need coverage for a cruise I'm going on to  greece
phone_plan.cruise_plan_add;I'm going on a cruise and need a package for my  4  days there
bill_reduction.current_service_cancellation;I hope the service is cancelled and I won’t be billed from next  month  onwards.
bill_reduction.current_service_cancellation;When can I expect to get a refund for the service I cancelled.
bill_reduction.current_service_cancellation;Please refund the fee for the cancelled service at the earliest.
bill_reduction.current_service_cancellation;I want my money refunded asap since I cancelled my service.
bill_reduction.current_service_cancellation;Could I get a full or a partial refund for this cancellation?
bill_reduction.current_service_cancellation;Am I getting a partial refund for the cancelled service?
bill_reduction.current_service_cancellation;Would you be kind enough to refund the fee for this service since I already cancelled it?
bill_reduction.current_service_cancellation;Could you please waive the fee for this service?
bill_reduction.current_service_cancellation;Could you process the refund for the service that I removed?
bill_reduction.current_service_cancellation;May I get a refund for the cancelled service?
bill_reduction.current_service_cancellation;I am wondering if I will get a refund by cancelling  this  service.
bill_reduction.current_service_cancellation; if I cancel the service.
bill_reduction.current_service_cancellation;Is it possible to get a refund
bill_reduction.current_service_cancellation;Let the service be cancelled and process the refund.
bill_reduction.current_service_cancellation;I request you to refund me the fee.
bill_reduction.current_service_cancellation;Help me cancel the service and to get the money back.
bill_reduction.current_service_cancellation;Please see if you can wave this fee.
bill_reduction.current_service_cancellation;I want to get a refund of this.
bill_reduction.current_service_cancellation;Can I get a refund for this month?
bill_reduction.current_service_cancellation;Please cancel my subscription and check if I am eligible for a refund.
bill_reduction.current_service_cancellation;Refund me the money by removing that service.
bill_reduction.current_service_cancellation;I no longer need that service. Can I get the refund now?
bill_reduction.current_service_cancellation;Is it possible to refund my money?
bill_reduction.current_service_cancellation;I want to know if it is possible to un-do this bill.
bill_reduction.current_service_cancellation;Can you remove this month's service?
bill_reduction.current_service_cancellation;Can you also wave this fee?
phone_plan.covers_all_lines;I just want to make sure the plan is included for all the lines
phone_plan.covers_all_lines;Could you ensure that all lines are covered under the plan?
phone_plan.covers_all_lines;I want to ensure this covers all the lines.
phone_plan.covers_all_lines;Could you expand this to all the other lines?
phone_plan.covers_all_lines;Is it for my line or all the lines?
phone_plan.covers_all_lines;What lines are included for this package?
phone_plan.covers_all_lines;Are all the lines included for this?
phone_plan.covers_all_lines;Would it be included for all the lines in my account?
phone_plan.covers_all_lines;Is it for covering all the lines?
phone_plan.covers_all_lines;Will that cover all the lines?
phone_plan.covers_all_lines;How about the other lines? Does it cover them too? 
phone_plan.covers_all_lines;Does it only cover one line?
phone_plan.covers_all_lines;Does it cover all lines?
phone_plan.covers_all_lines;Are all of my lines covered?
phone_plan.covers_all_lines;What are the lines that are covered under this plan?
phone_plan.covers_all_lines;Enrich me with the knowledge if all the lines are covered.
phone_plan.covers_all_lines;Let me know if all the lines are covered or not.
phone_plan.covers_all_lines;I want to know if all the lines will be covered.
phone_plan.covers_all_lines;Single line?
phone_plan.covers_all_lines;Covers all lines?
phone_plan.covers_all_lines;Can that cover all the lines?
phone_plan.covers_all_lines;Will it cover all the lines?
phone_plan.covers_all_lines;Will all the lines be covered?
phone_plan.covers_all_lines;Is that per line or on all my lines?
phone_plan.covers_all_lines;Does that cover all lines?
faq.plan.current_plan;I want to discuss the details of my present plan.
faq.plan.current_plan;What exactly is the plan that I currently have?
faq.plan.current_plan;Could you provide the details of the plan I have at present?
faq.plan.current_plan;Where do I find the details of my existing plan?
faq.plan.current_plan;Could you help me understand the details of my current plan?
faq.plan.current_plan;Need some help understanding the plan I currently have.
faq.plan.current_plan;Could you tell me which plan I have now?
faq.plan.current_plan;Can you tell me what phone plan I have now?
faq.plan.current_plan;What phone plan do I have now?
faq.plan.current_plan;Which plan do I have now?
faq.plan.current_plan;Can you see which plan I have now?
faq.plan.current_plan;What plan do I have now?
faq.plan.current_plan;What is my current plan?
faq.plan.current_plan;What is my current data plan?
faq.plan.current_plan;Please let me know my present plan.
faq.plan.current_plan;Help me know about my current plan.
faq.plan.current_plan;Please help me know about my current plan.
faq.plan.current_plan;Can you help me know about my current plan?
faq.plan.current_plan;Tell me about my present plan.
faq.plan.current_plan;Can I know about my present plan?
faq.plan.current_plan;Can I know about my current plan?
faq.plan.current_plan;What is my present plan?
faq.plan.current_plan;Let me know my present plan.
faq.plan.current_plan;Let me know my current plan.
faq.plan.current_plan;Please tell me about my current plan.
faq.plan.current_plan;Tell me about my current plan.
faq.plan.current_plan;What can you tell me about my current plan?
faq.plan.current_plan;Can you tell me my current plan?
phone_plan.plan_cancel;Can you cancel the travel plan from  next Monday ? I will be back in town on  Sunday .
phone_plan.plan_cancel;I don’t need the travel plan any more.
phone_plan.plan_cancel;I no longer need the travel plan on my account.
phone_plan.plan_cancel;Could you unsubscribe me from the travel plan?
phone_plan.plan_cancel;Please unsubscribe the travel plan. I no longer need it.
phone_plan.plan_cancel;I’d like to unsubscribe the international travel plan.
phone_plan.plan_cancel;Please remove the international plan that I recently added.
phone_plan.plan_cancel;I no longer need the international plan. Please remove it.
phone_plan.plan_cancel;Could you cancel the international plan?
phone_plan.plan_cancel;I’d like to cancel the plan that I recently added for my international trip.
phone_plan.plan_cancel;Should I cancel my international plan? Or will you be able to do that for me?
phone_plan.plan_cancel;Can you cancel my international plan for me?
phone_plan.plan_cancel;Can I cancel my international plan?
phone_plan.plan_cancel;Wondering if I can cancel my international plan.
phone_plan.plan_cancel;I would like to know if it is possible to unsubscribe the international plan I have on my line.
phone_plan.plan_cancel;I will be done with my trip in  3 days . So, I do not need the plan. Please cancel it.
phone_plan.plan_cancel;I do not need the international plan. Cancel it.
phone_plan.plan_cancel;Please cancel my international roaming subscription.
phone_plan.plan_cancel;How to cancel my subscription of an international plan.
phone_plan.plan_cancel;I want to know the steps to cancel the international plan which I opted for.
phone_plan.plan_cancel;Should I cancel my plan when I get back
phone_plan.plan_cancel;Should I cancel my plan then?
phone_plan.plan_cancel;do I need to cancel when i get back?
phone_plan.plan_cancel;I no longer need an international plan and would like to cancel
phone_plan.plan_cancel;I'm returning on Tuesday. Can I cancel plan then?
phone_plan.plan_cancel;I need to cancel plan. Should I cancel or can you?
phone_plan.plan_cancel;How do I cancel my international plan?
phone_plan.plan_cancel;I'm back in the us and would like to cancel my plan.
phone_plan.cheaper_plan_options;I find the  current  plan getting expensive. I need a cheaper plan.
phone_plan.cheaper_plan_options;Do you have any other plan that is more affordable for me?
phone_plan.cheaper_plan_options;I want a cheaper plan for my phone.
phone_plan.cheaper_plan_options;I want to downgrade the plan and get a plan that is affordable.
phone_plan.cheaper_plan_options;Do you have alternate plans that are cheaper than the current one?
phone_plan.cheaper_plan_options;I can’t afford the current pricing. Is there a cheaper option?
phone_plan.cheaper_plan_options;I need an affordable plan for my phone.
phone_plan.cheaper_plan_options;Is there no other cheap plan?
phone_plan.cheaper_plan_options;I would like you to search for other plans for less.
phone_plan.cheaper_plan_options;I want to get details of other cheaper options.
phone_plan.cheaper_plan_options;Is  this  the cheaper plan you have?
phone_plan.cheaper_plan_options;that is the cheapest plan you have?
phone_plan.cheaper_plan_options;are there no cheaper plans than that?
phone_plan.cheaper_plan_options;Are these the available options? Do I have anything cheaper?
phone_plan.cheaper_plan_options;Could you get me a less expensive option?
phone_plan.cheaper_plan_options;What other cheap options do I have?
phone_plan.cheaper_plan_options;Is there a cheaper option?
phone_plan.cheaper_plan_options;I did not like either of these options. Are there any other cheaper plans?
phone_plan.cheaper_plan_options;Are there other cheap plans?
phone_plan.cheaper_plan_options;Do you have any other cheaper choices?
phone_plan.cheaper_plan_options;Are there other more affordable options?
phone_plan.cheaper_plan_options;What are the other affordable plans?
phone_plan.cheaper_plan_options;How to get a cheaper monthly bill?
phone_plan.cheaper_plan_options;Is anything cheaper?
phone_plan.cheaper_plan_options;Have any other cheaper plans?
phone_plan.cheaper_plan_options;Do you have anything more affordable?
phone_plan.cheaper_plan_options;Is there anything cheaper?
phone_plan.cheaper_plan_options;Are there any cheaper options?
phone_plan.activation_fee;Do I need to be aware of any activation related charges?
phone_plan.activation_fee;I assume there is some activation fee.
phone_plan.activation_fee;Could you provide any information regarding the price to activate the service?
phone_plan.activation_fee;Any activation related fees?
phone_plan.activation_fee;Any activation related charges?
phone_plan.activation_fee;How much would the activation cost?
phone_plan.activation_fee;What is the fee to activate my service?
phone_plan.activation_fee;Do I need to pay for activation?
phone_plan.activation_fee;Do I have to pay anything to activate my service?
phone_plan.activation_fee;I hope there is no activation fee.
phone_plan.activation_fee; such as the activation fees?
phone_plan.activation_fee;Any hidden charges
phone_plan.activation_fee;Are there any activation fees that I should be aware of?
phone_plan.activation_fee;Does my phone have an activation fee?
phone_plan.activation_fee;What is the activation fee for my phone?
phone_plan.activation_fee;Can you tell me the activation fee?
phone_plan.activation_fee; What is the activation fee for this?
phone_plan.activation_fee;How much is the activation fee?
phone_plan.activation_fee;Will I have to pay any activation fee?
phone_plan.activation_fee;Is there an activation fee?
phone_plan.activation_fee;What is the activation fee?
phone_plan.activation_fee;Do I have to pay an activation fee?
phone_plan.activation_fee;Is there some kind of activation charge?
phone_plan.activation_fee;Do I have to pay a fee to turn it on?
phone_plan.activation_fee;Are there activation fees?
phone_plan.activation_fee;does  this  have any activation fees?
troubleshoot.router_issue;no wifi connection at home
troubleshoot.router_issue;I am not able to upload pictures to web.
troubleshoot.router_issue;My WiFi modem is not working.
troubleshoot.router_issue;My router is not working even though I have restarted it a  couple  of times.
troubleshoot.router_issue;It's taking a lot of time for a web page to reload.
troubleshoot.router_issue;My internet stutters during my virtual meetings.
troubleshoot.router_issue;My WiFi signals are too weak. Please improve them.
troubleshoot.router_issue;I cannot send texts.
troubleshoot.router_issue;My WiFi isn't working and I've restarted my router many times.
troubleshoot.router_issue;Improve my WiFi speed.
troubleshoot.router_issue;I am not able to watch good quality videos.
troubleshoot.router_issue;My texts aren't going through. What to do?
troubleshoot.router_issue;I am having trouble listening to calls.
troubleshoot.router_issue;I am not able to receive calls.
troubleshoot.router_issue;I am not able to receive texts. What to do?
troubleshoot.router_issue;Wifi doesn't work.
troubleshoot.router_issue;I am facing challenges in connecting to the web.
troubleshoot.router_issue;The signal strength is weak.
troubleshoot.router_issue;I have a poor network.
troubleshoot.router_issue;I think my router is not working well.
troubleshoot.router_issue;I can not access the internet.
troubleshoot.router_issue;I seem to have issues connecting to the web.
troubleshoot.router_issue;I am having trouble connecting to the internet
troubleshoot.router_issue;My  router  is not working .
troubleshoot.router_issue;My WiFi is not working
troubleshoot.router_issue;My  internet  isn't working and I've restarted my  router  a couple of times.
phone_plan.other_options;I want another alternative.
phone_plan.other_options;Is there any other alternative?
phone_plan.other_options;Are there any alternatives available?
phone_plan.other_options;Please tell me the other options.
phone_plan.other_options;What are the other options?
phone_plan.other_options;Other Options?
phone_plan.other_options;Tell me about the other options.
phone_plan.other_options;Help me know about the other options.
phone_plan.other_options;Let me know the better options.
phone_plan.other_options;Can you tell me the other options?
phone_plan.other_options;I want a better option.
phone_plan.other_options;I would like you to search for other ways.
phone_plan.other_options;I want to get details of other options.
phone_plan.other_options;Are these the available options? Do I have any other?
phone_plan.other_options;Is there any better way?
phone_plan.other_options;Is there a better way?
phone_plan.other_options;Could you get me another option?
phone_plan.other_options;What other options do I have?
phone_plan.other_options;Is there a better option?
phone_plan.other_options;I did not like either of these options. Is there any other?
phone_plan.other_options;Are there other ways?
phone_plan.other_options;I would like to know other ways to reduce my bill.
phone_plan.other_options;Do you have any other choices?
phone_plan.other_options;Are there other options?
phone_plan.other_options;What other options are there?
phone_plan.other_options;can you show me other available options?
phone_plan.other_options;show me other options?
phone_plan.charge_type;Is  this a monthly   recurring  charge?
phone_plan.charge_type;How often is the billing applied?
phone_plan.charge_type;How often will I be billed for this?
phone_plan.charge_type;Is this a bimonthly charge?
phone_plan.charge_type;Is it an annual charge or a monthly charge?
phone_plan.charge_type;Is this a charge that is recurring every month?
phone_plan.charge_type;How frequently will this charge be applied?
phone_plan.charge_type;Is there a cadence for this type of charge?
phone_plan.charge_type;What is the frequency of this charge?
phone_plan.charge_type;Is it yearly payment?
phone_plan.charge_type;Is it one time payment for the subscription?
phone_plan.charge_type;When is this subscription ending?
phone_plan.charge_type;When will this be ending?
phone_plan.charge_type;How long do I have to pay?
phone_plan.charge_type;How many months is this commitment?
phone_plan.charge_type;Will I be billed every time?
phone_plan.charge_type;Does this happen every month?
phone_plan.charge_type;Am I being charged every month?
phone_plan.charge_type;Is it recurrent payment?
phone_plan.charge_type;Will I be charged every month for this?
phone_plan.charge_type;Is it a single time charge?
phone_plan.charge_type;What type of payment charge is it?
phone_plan.charge_type;Is that a one time charge?
phone_plan.charge_type;s this a one time?
phone_plan.charge_type;Is that a  $15  increase per month?
bill_reduction.unfamiliar_charge;I’m not acknowledged of doing any such purchases
bill_reduction.unfamiliar_charge;I’m not acknowledged of any such thing.
bill_reduction.unfamiliar_charge;I’m not aware of anything .
bill_reduction.unfamiliar_charge;I did not do any transactions.
bill_reduction.unfamiliar_charge;I have no knowledge of purchases.
bill_reduction.unfamiliar_charge;I guess there are no purchases made.
bill_reduction.unfamiliar_charge;No purchases made.
bill_reduction.unfamiliar_charge;I think i have not made any purchases.
bill_reduction.unfamiliar_charge;I did not make any transactions.
bill_reduction.unfamiliar_charge;I have no knowledge of it.
bill_reduction.unfamiliar_charge;I did not commit to it.
bill_reduction.unfamiliar_charge;I did not subscribe to it.
bill_reduction.unfamiliar_charge; I did not purchase it.
bill_reduction.unfamiliar_charge;This is strange
bill_reduction.unfamiliar_charge;It’s unfamiliar to me.
bill_reduction.unfamiliar_charge;I am not familiar with this.
bill_reduction.unfamiliar_charge;I have no idea of this transaction.
bill_reduction.unfamiliar_charge;I have no idea about it.
bill_reduction.unfamiliar_charge;I did not make that purchase.
bill_reduction.unfamiliar_charge;I don’t know if it is billed.
bill_reduction.unfamiliar_charge;I don’t know about those charges.
bill_reduction.unfamiliar_charge;I do not know about that.
bill_reduction.unfamiliar_charge;I did not buy it.
bill_reduction.unfamiliar_charge;I do not know that transaction.
bill_reduction.unfamiliar_charge;Is it? I haven’t made any purchases.
bill_reduction.unfamiliar_charge;I did not make that purchase
faq.support_bot;Are you a bot?
faq.support_bot;Are you a real person?
faq.support_bot;I would appreciate some help.
faq.support_bot;I badly need some help.
faq.support_bot;What are the areas where you could help?
faq.support_bot;How could you help me?
faq.support_bot;May I get some directions?
faq.support_bot;Could you please help me with the service?
faq.support_bot;Need help. I’m stuck :(
faq.support_bot;What info can I get from you?
faq.support_bot;I am looking for some help.
faq.support_bot;Can you help with my questions?
faq.support_bot;Wondering how you can help me
faq.support_bot;How can the bot help me?
faq.support_bot;What does the bot do?
faq.support_bot;what the virtual agent can do?
faq.support_bot;what the agent can do?
faq.support_bot;what the bot can do?
faq.support_bot;What would you like to do?
faq.support_bot;Why are you here?
faq.support_bot;What can you do for me?
faq.support_bot;What are you?
faq.support_bot;Who are you?
faq.support_bot;What type of chatbot are you?
faq.support_bot;What things do you do to help me?
faq.support_bot;What can you do to help me?
faq.support_bot;What do you do?
faq.support_bot;How do you work?
faq.support_bot;What can you do?
faq.support_bot;How can you help me?
phone_plan.new_number;Can you reveal my new number?
phone_plan.new_number;I'm excited to know my new number.
phone_plan.new_number;What's my number?
phone_plan.new_number;Would you mind telling me my new number?
phone_plan.new_number;New number
phone_plan.new_number;May I ask the number of my new line?
phone_plan.new_number;Tell me my new number please.
phone_plan.new_number;Let me know my new number.
phone_plan.new_number;How can I get the new line's number?
phone_plan.new_number;Which is the new line I got now?
phone_plan.new_number;What is the number of the line, which I just got?
phone_plan.new_number;Can I get the latest line's number?
phone_plan.new_number;Is it possible to know my new line's number?
phone_plan.new_number;Can I see the number please?
phone_plan.new_number;What is  this  new line's number?
phone_plan.new_number;I want to know my new device's number.
phone_plan.new_number;Could you give me my new line's contact number?
phone_plan.new_number;Show me my new number
phone_plan.new_number;What is my  current  number?
phone_plan.new_number;My updated number please
phone_plan.new_number;What is the latest number?
phone_plan.new_number;What is the updated number?
phone_plan.new_number;Can you tell me my new number now?
phone_plan.new_number;What is my new number?
phone_plan.general_plan_question;Please change my plan.
phone_plan.general_plan_question;Switch my plan.
phone_plan.general_plan_question;Alter my plan.
phone_plan.general_plan_question;Please help me change my plan.
phone_plan.general_plan_question;Can I be switched to a different plan?
phone_plan.general_plan_question;Guide me to change plans.
phone_plan.general_plan_question;Transfer my plan.
phone_plan.general_plan_question;Switch  plans.
phone_plan.general_plan_question;Let me change  plans.
phone_plan.general_plan_question;Change my plan.
phone_plan.general_plan_question;I want to alter my plan..
phone_plan.general_plan_question;Transfer my subscription.
phone_plan.general_plan_question;Help me transfer my subscription.
phone_plan.general_plan_question;I want to transfer my subscription .
phone_plan.general_plan_question;Subscribe to other plans.
phone_plan.general_plan_question;Switch to another plan.
phone_plan.general_plan_question;Please switch me to other plans.
phone_plan.general_plan_question;Help me switch to other plans.
phone_plan.general_plan_question;Let me be switched to another plan.
phone_plan.general_plan_question;Switch me to other plans.
phone_plan.general_plan_question;Can I be switched to another plan?
phone_plan.general_plan_question;Can you switch me to other plans?
phone_plan.general_plan_question;I want to switch to other plans
phone_plan.general_plan_question;thinking about a plan change
phone_plan.general_plan_question;change plan
bill_reduction.initiate;Why is my bill so high  this month ?
bill_reduction.initiate;My  TV  bill increased by  $15  and I can't seem to figure out why.
bill_reduction.initiate;I am trying to figure out why I was charged an extra  $25  in  the past month .
bill_reduction.initiate;Can you explain my recent bill? The charges seem rather unusual.
bill_reduction.initiate;There is some high fee added to my recent bill. What is it regarding?
bill_reduction.initiate;My current bill shows higher than normal charge. Can you resolve it?
bill_reduction.initiate;I’m shocked to see a high charge on my recent bill.
